ejekcbufrgthgnckleghnnfihrdedrnnlecbnrutcrdh,Complete EXTUNBIASED input data sets (good runs),,,,,,,NuMI FHC/RHC boundary defs,Runs,,,crt-remerging,4a,4b,4c,4d,5,,
Run,Defintion,Files,Events,EXT,avg events per file ,,,numi_run4_fhc_runs,"4c,4d",,,BNB reco1,not used,not used,,,,,no need
4b,prod_extunbiased_swizzle_crt_inclusive_v7b_goodruns_mcc9_run4b_bnb_ncdelta_overlay,2105,87687,,"[0.715, 0.765)",0.05,,,,,,,,,,,,,
4c,prod_extunbiased_swizzle_crt_inclusive_v7c_goodruns_mcc9_run4c_bnb_ncdelta_overlay,3829,53285,,"[0.715, 0.765)",0.05,,,,,,,,,,,,,
4d,prod_extunbiased_swizzle_crt_inclusive_v7d_goodruns_mcc9_run4d_bnb_ncdelta_overlay,7247,107736,,"[0.715, 0.765)",0.05,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Run,BNB COH Pion Overlay,,,,,,,,,,,,,,,,,,
4a,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4a_bnb_COH_pion_overlay,72,3291,,"[0.420,0.425)",Not using,,,,,,,,,,,,,
4b,prod_extunbiased_swizzle_crt_inclusive_v7b_goodruns_mcc9_run4b_bnb_COH_pion_overlay,180,7716,,"[0.420,0.424)",0.004,,176.576,7367.196,,,,,,,,,,
4c,prod_extunbiased_swizzle_crt_inclusive_v7c_goodruns_mcc9_run4c_bnb_COH_pion_overlay,306,4691,,"[0.420,0.424)",0.004,,310.968,4345.112,,,,,,,,,,
4d,prod_extunbiased_swizzle_crt_inclusive_v7d_goodruns_mcc9_run4d_bnb_COH_pion_overlay,611,9169,,"[0.420,0.424)",0.004,,579.832,8611.124,,,,,,,,,,
,,,,,,,,combied 4,21576,,,,,,,,,,
,,,,,,,,estimate,20323.432,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5,prod_extunbiased_swizzle_crt_inclusive_v8_goodruns_mcc9_run5_COH_pion_overlay,350,21479,,"[0.420,0.429)",0.009,,347.184,20855.088,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Run,BNB Intrinsic nue overlay,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4a,prod_extunbiased_swizzle_crt_inclusive_v7_goodruns_mcc9_run4a_bnb_intrnue_overlay,1370,58794,,"[0.55, 0.66)",0.11,,,,,,,,,,,,,
4b,prod_extunbiased_swizzle_crt_inclusive_v7b_goodruns_mcc9_run4b_bnb_intrnue_overlay,4910,206087,,"[0.55, 0.66)",0.11,,,,,,,,,,,,,
4c,prod_extunbiased_swizzle_crt_inclusive_v7c_goodruns_mcc9_run4c_bnb_intrnue_overlay,8762,121316,,"[0.55, 0.66)",0.11,,,,,,,,,,,,,
4d,prod_extunbiased_swizzle_crt_inclusive_v7d_goodruns_mcc9_run4d_bnb_intrnue_overlay,16096,239142,,"[0.55, 0.66)",0.11,,,,,,,,,,,,,
