,Complete EXTUNBIASED input data sets (good runs),,,,,,,NuMI FHC/RHC boundary defs,Runs,,,crt-remerging,4a,4b,4c,4d,5,,
Run,Defintion,Files,Events,EXT,Avg events per file,,,numi_run4_fhc_runs,"4c,4d",,,BNB reco1,not used,not used,,,,,no need
Coherent,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_overlay_coherent_pion,720,20281,,"[0.69,0.697)",0.007,749.889,21640.563,,,,,,,,,,,
,BNB Run 3,,,,,,,,,,,,,,,,,,
BNB Nu,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_bnb_nu,31416,1505236,,"[0.0,0.35)",0.35,,,,,,,,,,,,,
Int Nue,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_intrinsic_nue,6101,293868,,"[0.35,0.42)",0.07,,,,,,,,,,,,,
NC Delta,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_ncdelta,3216,154359,,"[0.42,0.455)",0.035,,,,,,,,,,,,,
NC Pi0,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_ncpi0,3273,156939,,"[0.455,0.491)",0.036,,,,,,,,,,,,,
Dirt,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_dirt,3236,155086,,"[0.491,0.527)",0.036,,,,,,,,,,,,,
eLEE High,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_eLee_high,596,28523,,"[0.527,0.5335)",0.0065,,,,,,,,,,,,,
eLEE Low,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_eLee_low,611,29543,,"[0.5335,0.54)",0.0065,,,,,,,,,,,,,
Full Osc,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_full_osc,641,30127,,"[0.54,0.5475)",0.0075,,,,,,,,,,,,,
Low Energy,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_lowE,1448,68363,,"[ 0.5475 ,0.563)",0.0155,,,,,,,,,,,,,
NC Pi0 Extra,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_ncpi02,922,44058,,"[0.563,0.5735)",0.0105,,,,,,,,,,,,,
DL Vertexing ,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_DL_vertexing_retreat_Sept2024,4296,203285,,"[0.5735,0.62)",0.0465,,,,,,,,,,,,,
NC Kaon,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_nc_kaon,1056,50474,,"[0.62,0.632)",0.012,,,,,,,,,,,,,
Coherent Pion,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_coherent_pion,452,21610,,"[0.2,0.205",0.005,447.775,21449.17,,,,,,,,,,,
,NuMI FHC Run 1,,,,,,,,,,,,,,,,,,
Nu,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_750k,16994,743974,,"[0.0,0.35)",0.35,,,,,,,,,,,,,
Int Nue,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_100k,2297,99319,,"[0.35,0.397)",0.047,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,NuMI RHC Run 1,,,,,,,,,,,,,,,,,,
