bin_lo_gev,bin_hi_gev,target_no_xs_cv_weight_per_1e17pot,target_no_xs_cv_weight_stat_err,target_xs_cv_weight_per_1e17pot,target_xs_cv_weight_stat_err
3.850,3.900,3.413558e-04,6.575487e-06,3.665683e-04,1.232778e-05
3.900,3.950,3.157699e-04,6.324259e-06,3.253965e-04,8.998209e-06
3.950,4.000,3.027237e-04,6.192235e-06,3.152488e-04,9.500261e-06
4.000,4.050,2.809377e-04,5.965259e-06,2.971886e-04,9.798793e-06
4.050,4.100,2.519320e-04,5.648926e-06,2.588675e-04,7.432528e-06
4.100,4.150,2.328059e-04,5.430268e-06,2.364803e-04,7.425199e-06
4.150,4.200,2.169731e-04,5.242364e-06,2.277675e-04,8.201809e-06
4.200,4.250,2.105133e-04,5.163736e-06,2.099486e-04,5.709395e-06
4.250,4.300,1.863207e-04,4.857970e-06,1.889517e-04,5.704653e-06
4.300,4.350,1.792276e-04,4.764603e-06,1.886169e-04,6.534390e-06
4.350,4.400,1.644081e-04,4.563372e-06,1.711442e-04,6.703578e-06
4.400,4.450,1.473086e-04,4.319549e-06,1.526491e-04,6.370396e-06
4.450,4.500,1.328691e-04,4.102383e-06,1.378563e-04,7.123626e-06
4.500,4.550,1.313491e-04,4.078851e-06,1.431518e-04,9.613384e-06
4.550,4.600,1.164030e-04,3.839779e-06,1.270232e-04,7.817191e-06
4.600,4.650,1.113365e-04,3.755285e-06,1.176940e-04,7.220765e-06
4.650,4.700,1.005701e-04,3.569100e-06,1.069176e-04,6.655343e-06
4.700,4.750,9.411034e-05,3.452573e-06,9.995751e-05,5.076756e-06
4.750,4.800,8.372400e-05,3.256486e-06,8.580694e-05,4.534086e-06
4.800,4.850,7.587092e-05,3.100002e-06,7.387398e-05,3.315919e-06
4.850,4.900,7.169105e-05,3.013400e-06,7.473820e-05,6.005783e-06
4.900,4.950,7.029776e-05,2.983974e-06,7.126622e-05,3.134314e-06
4.950,5.000,6.371130e-05,2.840747e-06,6.963371e-05,5.677789e-06
5.000,5.050,5.661820e-05,2.677949e-06,7.003496e-05,8.223273e-06
5.050,5.100,4.711850e-05,2.442980e-06,4.764555e-05,2.601166e-06
5.100,5.150,4.648519e-05,2.426507e-06,5.313051e-05,5.381279e-06
5.150,5.200,4.103869e-05,2.279927e-06,4.511399e-05,3.903002e-06
5.200,5.250,3.761880e-05,2.182864e-06,3.654890e-05,2.405420e-06
5.250,5.300,3.559220e-05,2.123253e-06,3.366430e-05,2.607476e-06
5.300,5.350,3.521221e-05,2.111888e-06,3.379521e-05,2.625201e-06
5.350,5.400,2.583918e-05,1.809104e-06,2.617219e-05,1.861017e-06
5.400,5.450,2.596584e-05,1.813533e-06,2.756695e-05,2.266749e-06
5.450,5.500,2.127932e-05,1.641735e-06,2.046510e-05,1.859886e-06
5.500,5.550,1.633948e-05,1.438611e-06,1.623748e-05,1.544257e-06
5.550,5.600,2.077267e-05,1.622073e-06,2.088989e-05,1.635199e-06
5.600,5.650,1.494619e-05,1.375908e-06,1.528246e-05,1.588464e-06
5.650,5.700,1.519952e-05,1.387520e-06,1.519952e-05,1.387520e-06
5.700,5.750,1.557950e-05,1.404757e-06,1.557950e-05,1.404757e-06
5.750,5.800,1.241294e-05,1.253896e-06,1.292414e-05,1.370637e-06
5.800,5.850,1.063966e-05,1.160882e-06,1.083892e-05,1.189801e-06
5.850,5.900,8.359734e-06,1.029012e-06,8.490921e-06,1.053903e-06
5.900,5.950,7.853083e-06,9.973426e-07,8.353325e-06,1.151367e-06
5.950,6.000,7.726421e-06,9.892668e-07,0.000000e+00,0.000000e+00
